bankCode,bic,bankName,postalCode,city,flags
00759,ZKBKCHZZ80A,Zürcher Kantonalbank,8303,Bassersdorf,
00761,KBAGCH22XXX,Aargauische Kantonalbank,5001,Aarau,
00763,AIKACH22XXX,Appenzeller Kantonalbank,9050,Appenzell,
00764,BSCTCH22XXX,Banca dello Stato del Cantone Ticino,6501,Bellinzona,
76410,BSCTCH22LUG,Banca dello Stato del Cantone Ticino,6901,Lugano,
76411,BSCTCH22XXX,Banca dello Stato del Cantone Ticino,6900,Lugano,
76412,BSCTCH22XXX,Banca dello Stato del Cantone Ticino,6950,Tesserete,
76420,BSCTCH22LOC,Banca dello Stato del Cantone Ticino,6601,Locarno,
76430,BSCTCH22CHI,Banca dello Stato del Cantone Ticino,6830,Chiasso 1,
76440,BSCTCH22XXX,Banca dello Stato del Cantone Ticino,6850,Mendrisio,
